Category,Name,Material,Quantity,TotalLength,TotalArea,TotalVolume
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212732,,1,117.40312,0.0,384357.631921
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212733,,1,117.40312,0.0,384357.631921
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212734,,1,2550.193761,0.0,10510534.731221
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212735,,1,4955.000038,0.0,19885500.154497
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212736,,1,2550.193761,0.0,10510534.731221
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212737,,1,4955.000038,0.0,19885500.154497
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212738,,1,117.39704,0.0,384333.008167
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212739,,1,117.39704,0.0,384333.008167
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212740,,1,117.39704,0.0,384333.008167
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212741,,1,117.39704,0.0,384333.008167
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212742,,1,117.39704,0.0,384333.008167
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212743,,1,117.4092,0.0,384382.258144
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212744,,1,117.4092,0.0,384382.258144
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212745,,1,117.4092,0.0,384382.258144
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212746,,1,117.4092,0.0,384382.258144
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:212747,,1,117.4092,0.0,384382.258144
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:213311,,1,2550.193761,0.0,10510534.731221
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:213312,,1,4955.000038,0.0,19885500.154497
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:213313,,1,2550.193761,0.0,10510534.731221
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:213314,,1,4955.000038,0.0,19885500.154497
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:213315,,1,117.40312,0.0,384357.63439
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:213316,,1,117.40312,0.0,384357.63439
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:213317,,1,117.40312,0.0,384357.63439
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:213318,,1,117.40312,0.0,384357.63439
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:213319,,1,117.40312,0.0,384357.63439
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:213320,,1,117.40312,0.0,384357.631921
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:213321,,1,117.40312,0.0,384357.631921
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:213322,,1,117.40312,0.0,384357.631921
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:213323,,1,117.40312,0.0,384357.631921
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:213324,,1,117.40312,0.0,384357.631921
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:213325,,1,2550.193761,0.0,10510534.731221
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:213326,,1,4955.000038,0.0,19885500.154497
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:213327,,1,2550.193761,0.0,10510534.731221
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:213328,,1,4955.000038,0.0,19885500.154497
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:213329,,1,117.39704,0.0,384333.008167
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:213330,,1,117.39704,0.0,384333.008167
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:213331,,1,117.39704,0.0,384333.008167
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:213332,,1,117.39704,0.0,384333.008167
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:213333,,1,117.39704,0.0,384333.008167
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:213334,,1,117.4092,0.0,384382.258144
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:213335,,1,117.4092,0.0,384382.258144
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:213336,,1,117.4092,0.0,384382.258144
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:213337,,1,117.4092,0.0,384382.258144
OdIfc2x3::IfcBeam,Glulam (2):45 x 90:45 x 90:213338,,1,117.4092,0.0,384382.258144
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:198125,,1,13312.063409,0.0,313037259.247523
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:198136,,1,13270.295484,0.0,312226622.493556
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:198147,,1,13256.376835,0.0,311863124.061776
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:198160,,1,13270.347715,0.0,312177647.781764
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:198171,,1,13312.066984,0.0,312940821.313084
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:198182,,1,13312.063409,0.0,313037259.247523
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:198193,,1,13270.295484,0.0,312226622.493556
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:198204,,1,13256.376835,0.0,311863124.061843
OdIfc2x3::IfcBeam,Glulam (2):95 x 250:95 x 250:198217,,1,13270.347715,0.0,312177647.781764
